case,func,dimension_limit,seed,contexts,preset,truth_available,delta,function_evaluations,graph_edges_before_pruning,graph_edges_after_pruning,groups,shared_variables,over_shared_ratio,singleton_count,mean_group_size,max_group_size,validation_errors,shared_precision,shared_recall,shared_f1,mean_best_group_jaccard,exact_group_matches,output_dir
flyki:1,1,10,11,3,balanced,true,0.0001,540,45,7,11,5,0.5,4,1.63636363636,2,0,0,0,0,0.636363636364,3,results\grouping_batch_medium\runs\f1_d10_s11_c3_balanced
flyki:1,1,10,11,3,capped,true,0.0001,540,45,10,9,5,0.5,3,2.88888888889,6,0,0,0,0,0.551851851852,2,results\grouping_batch_medium\runs\f1_d10_s11_c3_capped
flyki:1,1,10,11,3,conservative,true,0.0001,540,45,2,9,0,0,8,1.11111111111,2,0,0,0,0,0.888888888889,7,results\grouping_batch_medium\runs\f1_d10_s11_c3_conservative
flyki:1,1,10,11,5,balanced,true,0.0001,900,45,7,9,3,0.3,2,1.77777777778,2,0,0,0,0,0.648148148148,3,results\grouping_batch_medium\runs\f1_d10_s11_c5_balanced
flyki:1,1,10,11,5,capped,true,0.0001,900,45,10,9,5,0.5,2,3.11111111111,8,0,0.2,0.5,0.285714285714,0.553703703704,2,results\grouping_batch_medium\runs\f1_d10_s11_c5_capped
flyki:1,1,10,11,5,conservative,true,0.0001,900,45,2,9,0,0,8,1.11111111111,2,0,0,0,0,0.888888888889,7,results\grouping_batch_medium\runs\f1_d10_s11_c5_conservative
flyki:1,1,10,1,3,balanced,true,0.0001,540,45,7,10,6,0.6,3,1.7,2,0,0.166666666667,0.5,0.25,0.65,3,results\grouping_batch_medium\runs\f1_d10_s1_c3_balanced
flyki:1,1,10,1,3,capped,true,0.0001,540,45,10,9,5,0.5,0,3.11111111111,7,0,0.2,0.5,0.285714285714,0.374338624339,0,results\grouping_batch_medium\runs\f1_d10_s1_c3_capped
flyki:1,1,10,1,3,conservative,true,0.0001,540,45,2,9,0,0,8,1.11111111111,2,0,0,0,0,0.888888888889,7,results\grouping_batch_medium\runs\f1_d10_s1_c3_conservative
flyki:1,1,10,1,5,balanced,true,0.0001,900,45,7,10,4,0.4,3,1.7,2,0,0,0,0,0.7,5,results\grouping_batch_medium\runs\f1_d10_s1_c5_balanced
